taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes
Carya illinoinensis (Wangenh.) K.Koch,Carya,illinoinensis,,,,,w,,,United States of America,Iowa,Des Moines,,on the Mississippi River bottom near Burlington,,413-43,,,plant,1,Plant,Garden Grounds,,"Steinbrecker, H",,,
Carya illinoinensis (Wangenh.) K.Koch,Carya,illinoinensis,,,,,w,,,United States of America,Illinois,Fulton,,along Route 78,,569-81,,HORT. PROP.,seed,2,Plant,Garden Grounds,,"Tyson, S",1981,,
Carya illinoinensis (Wangenh.) K.Koch,Carya,illinoinensis,,,,,w,,,United States of America,Illinois,Fulton,,,,1-84,,RIVENDELL BG.,seed,7,Plant,Garden Grounds,,,,,
Carya illinoinensis (Wangenh.) K.Koch,Carya,illinoinensis,,,,,w,,,United States of America,Illinois,,,"""native trees"" site not noted",,491-55,,QUINCY PK.,seed,18,Plant,Garden Grounds,,"Johnson, GAL",,,
Carya illinoinensis (Wangenh.) K.Koch,Carya,illinoinensis,,,,,w,,,United States of America,Iowa,Jackson,,"west side of Mississippi R., west of Bowman Island, south of Bellevue",,234-91,,1991 MORTON IA-NE SD. EXPED.,seed,1,Plant,Garden Grounds,,,1991,,
Carya illinoinensis (Wangenh.) K.Koch,Carya,illinoinensis,,,,,w,,,United States of America,Illinois,,,along the Mississippi River near Pike Station,,1082-39,,MORTON,seed,3,Plant,Garden Grounds,,"Kammerer, EL",,,
Carya laciniosa (F.Michx.) Loudon,Carya,laciniosa,,,,,w,,,United States of America,Ohio,Wayne,,,,1083-60,,OHIO AG. EXP. STA.,seed,1,Plant,Garden Grounds,,,,,
Carya laciniosa (F.Michx.) Loudon,Carya,laciniosa,,,,,w,,,United States of America,Illinois,Kane,,"Fermilab, Batavia",,640-2010,,FERMILAB,seed,4,Plant,Propagation,,,2010,,
Carya laciniosa (F.Michx.) Loudon,Carya,laciniosa,,,,,w,,,United States of America,Indiana,Tippecanoe,Lafayette,within a mile of Lafayette,,612-64,,PURDUE U. DEPT. FOR.,seed,1,Plant,Garden Grounds,,,,,
Carya laciniosa (F.Michx.) Loudon,Carya,laciniosa,,,,,w,,,United States of America,Illinois,Kane,,"Fermilab, Batavia",,641-2010,,FERMILAB,seed,1,Plant,Garden Grounds,,,2010,,
Carya laciniosa (F.Michx.) Loudon,Carya,laciniosa,,,,,w,,,United States of America,Illinois,Kane,,"Fermi Lab, Batavia",,531-2013,,FERMILAB,seed,8,Plant,Garden Grounds,,,2013,,
Carya laciniosa (F.Michx.) Loudon,Carya,laciniosa,,,,,w,,,United States of America,Illinois,Pope,,Dixon Springs Agriculural Center grounds near Simpson,,625-64,,DIXON SP. AG. CENT.,seed,2,Plant,Garden Grounds,,,,,
Carya laciniosa (F.Michx.) Loudon,Carya,laciniosa,,,,,w,,,United States of America,Iowa,Des Moines,,6 miles north of Burlington,,361-96,,MORTON,seed,4,Plant,Garden Grounds,,"Green, T",,,
Carya ovalis var. obovalis Sarg.,Carya,ovalis,var.,obovalis,,,z,,,United States of America,Missouri,Crawford,,,,30-2015,,MORTON; wild coll'd seed,graft,2,Plant,Propagation,,"Steyermark, J",,,
Carya ovalis var. obovalis Sarg.,Carya,ovalis,var.,obovalis,,,w,,,United States of America,Missouri,Crawford,,,,426-45,,FIELD MUS. NAT. HIST.,seed,1,Plant,Garden Grounds,,"Steyermark, J",,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,Macon,,0.25 mi. south of the NE corner of Spitler Woods State Park on the east edge of the park,,564-78,,MORTON-STAFF,seed,1,Plant,Garden Grounds,NI-26,"Schulenberg, RF",1978,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,41.906917,-86.370639,United States of America,Michigan,Berrien,,along east side of intersection of Redbud Trail and Grange Roads north of Buchanan on the west side of the St. Joseph River,"Plant Assoc.: Quercus alba, Quercus rubra, Quercus velutina, Fraxinus americana, Acer saccharum, Sassafras albidum, Toxicodendron radicans, Juglans nigra, Parthenocissus quinquefolia ",471-2001,,MORTON,seed,1,Plant,Garden Grounds,1558,"Hedborn Jr, EA",2001,,"2001 Seed Exchange; Plant Descr.: single trunk mature tree with prominently shaggy bark, large pinnately compound leaves with hairy-toothed margins"
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage,,Danada Forest Preserve,,605-2008,,MORTON,seed,1,Plant,Garden Grounds,,Morton Volunteers,2008,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,41.823,-88.319,United States of America,Illinois,Kane,,"Red Oak Nature Center, Batavia",,532-2013,,MORTON,seed,1,Plant,Garden Grounds,,Morton Volunteers,2013,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,Kendall,,Lyon Forest Preserve,,609-2008,,MORTON,seed,13,Plant,Garden Grounds,,Morton Volunteers,2008,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage,,"The Morton Arboretum, Lisle",,601-2001,,MORTON,seed,1,Plant,Garden Grounds,,"Johnson, C",2001,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage,,on Danada Forest Preserve,,633-2010,,MORTON-STAFF,seed,2,Plant,Garden Grounds,,Arboretum Steward,2010,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,41.816673,-88.052772,United States of America,Illinois,DuPage,,"The Morton Arboretum East Woods, east of Bur-reed Marsh, Lisle",,634-2010,,MORTON-STAFF; native trees,seed,13,Plant,Garden Grounds,,Arboretum Steward,2010,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage,,Danada Forest Preserve,,604-2008,,MORTON,seed,1,Plant,Garden Grounds,,Morton Volunteers,2008,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Iowa,Boone,,on the west side of Richardson's Branch in the Iowa Arboretum,"Plant Assoc.: Festuca elatior, Phleum pratense, Pastinaca sativa, Bromus inermis.",235-95,,MORTON 1995 IOWA SD. EXPED.,seed,3,Plant,Garden Grounds,IA1995-6,,1995,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,Jo Daviess,,along east side of Broadway Road at edge of field,"Plant Assoc.: Cornus racemosa, Asclepias syriaca, Andropogon gerarii",195-97,,MORTON 1997 IL SD. EXPED.,seed,4,Plant,Garden Grounds,97-7,,1997,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,z,,,United States of America,Illinois,DuPage,,"native trees near Schulenberg Prairie, The Morton Arboretum, Lisle",,545-2009,,MORTON; wild coll'd seed - Chicago Region,seed,5,Plant,Garden Grounds,,"Dreisilker, KM",2011,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage,,Danada Forest Preserve,,544-2009,,MORTON,seed,1,Plant,Propagation,,Staff,,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,Kane,,Burnridge Forest Preserve,,603-2008,,MORTON,seed,1,Plant,Propagation,,Morton Volunteers,2008,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage,,"on Old Wayne Golf Course, West Chicago",,637-2010,,MORTON-STAFF,seed,1,Plant,Garden Grounds,,Arboretum Steward,2010,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage,,Morton Arboretum East Woods,,607-2008,,MORTON,seed,4,Plant,Garden Grounds,,Morton Volunteers,2008,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,Kane,,"on Fermi Lab., Batavia",,635-2010,,FERMILAB,seed,1,Plant,Garden Grounds,,,2010,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,41.679905,-88.374098,United States of America,Illinois,Kendall,,"private residence just off Fox River at 36 Oak Hill Drive, Oswego",,630-2010,,MORTON-STAFF,seed,15,Plant,Garden Grounds,,Morton Employee(s),2010,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage,,Danada Forest Preserve,,541-2009,,MORTON,seed,38,Plant,Garden Grounds,,"Grey, J",2009,?,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage,,DuPage County forest preserves,,477-2007,,DUPAGE FOR. PRES. DIST.,seed,5,Plant,Garden Grounds,,,2007,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,Kendall,,Lyon Forest Preserve,,608-2008,,MORTON,seed,8,Plant,Garden Grounds,,Morton Volunteers,2008,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage & Kendall,,various sites,,478-2007,,MORTON-STAFF,seed,34,Plant,Garden Grounds,,"Dreisilker, KM",2007,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage,,on Danada Forest Preserve,,631-2010,,MORTON-STAFF,seed,4,Plant,Garden Grounds,,Arboretum Steward,2010,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage,,"native trees near Schulenberg Prairie, The Morton Arboretum, Lisle",,340-2011,,MORTON,seed,2,Plant,Garden Grounds,,"Dreisilker, KM",2011,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,41.734384,-88.485251,United States of America,Illinois,Kane,,"about 250 m. west of Jerico Road and Ashe Road, Big Rock",,632-2010,,MORTON-STAFF,seed,12,Plant,Garden Grounds,,"Dreisilker, KM",2011,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,DuPage,,"Morton Arboretum East Woods near Bur Reed Marsh, Lisle",,601-2008,,MORTON,seed,1,Plant,Garden Grounds,,Morton Volunteers,2008,,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,w,,,United States of America,Illinois,Iroquois,,Haun Park,,572-83,,MORTON-STAFF,seed,4,Plant,Garden Grounds,1525,"Hedborn Jr, EA; Bachtell, KR",1983,,
Castanea dentata (Marshall) Borkh.,Castanea,dentata,,,,,g,,,United States of America,Illinois,Carroll,,"southwest corner of Mississippi Palisades State Park, near site of and old abandoned homesite",,565-78,,MORTON-STAFF,seed,2,Plant,Garden Grounds,,"Schulenberg, RF",,,
