"genesysId","instCode","name","aliasType","lang","version"
"3416799",,"00008","COLLNUMB",,"0"
"3416799",,"Korzheutskij","ACCENAME",,"0"
"3416800",,"KOZAKU","ACCENAME",,"0"
"3416800",,"00006","COLLNUMB",,"0"
"3416801","UKR027","00300","OTHERNUMB",,"0"
"3416801",,"00007","COLLNUMB",,"0"
"3416801",,"Kostiuzhenskij","ACCENAME",,"0"
"3416801","UKR046","0000","OTHERNUMB",,"0"
"3416802",,"00003","COLLNUMB",,"0"
"3416802",,"Bukovinska bomba","ACCENAME",,"0"
"3416803",,"00004","COLLNUMB",,"0"
"3416803",,"KLISHKIVSKIJ","ACCENAME",,"0"
"3416804",,"00002","COLLNUMB",,"0"
"3416804",,"BUKOVINSKIJ 2","ACCENAME",,"0"
"3416805",,"KISHINEVSKMJ","ACCENAME",,"0"
"3416806",,"00001","COLLNUMB",,"0"
"3416806",,"BUKOVINSKIJ 1","ACCENAME",,"0"
"3416807",,"10068","COLLNUMB",,"0"
"3416807",,"Forma 5-25","ACCENAME",,"0"
"3416808",,"10069","COLLNUMB",,"0"
"3416808",,"Forma 10 D","ACCENAME",,"0"
"3416809",,"10065","COLLNUMB",,"0"
"3416809",,"FORMA 2-20","ACCENAME",,"0"
"3416810",,"10066","COLLNUMB",,"0"
"3416810",,"FORMA 2-19","ACCENAME",,"0"
"3416811",,"10067","COLLNUMB",,"0"
"3416811",,"FORMA 4-25","ACCENAME",,"0"
"3416812",,"09985","COLLNUMB",,"0"
"3416812",,"TANKOVYJ","ACCENAME",,"0"
"3416813",,"10063","COLLNUMB",,"0"
"3416813",,"FORMA 2-13","ACCENAME",,"0"
"3416814",,"10064","COLLNUMB",,"0"
"3416814",,"Forma 2-16","ACCENAME",,"0"
"3416815",,"09984","COLLNUMB",,"0"
"3416815",,"Yuzhnoberezhnyj","ACCENAME",,"0"
"3416817",,"CHKALOVSKII","ACCENAME",,"0"
"3416818",,"KACHIK","ACCENAME",,"0"
"3416819",,"09982","COLLNUMB",,"0"
"3416819",,"SREDNEAZIATSKIJ","ACCENAME",,"0"
"3416820",,"09983","COLLNUMB",,"0"
"3416820",,"SOKOLINSKIJ","ACCENAME",,"0"
"3514870",,"14 A-1","ACCENAME",,"0"
"3514871",,"14 B-1","ACCENAME",,"0"
"3514872",,"15 A-1","ACCENAME",,"0"
"3514873",,"15 A-2","ACCENAME",,"0"
"3514874",,"15 B-6","ACCENAME",,"0"
"3514875",,"23 A-1","ACCENAME",,"0"
"3514876",,"23 B-1","ACCENAME",,"0"
"3514877",,"23 B-2","ACCENAME",,"0"
"3514878",,"9 C-1","ACCENAME",,"0"
"3514879",,"Alcalde 1","ACCENAME",,"0"
"3514880",,"ALCALDE 2","ACCENAME",,"0"
"3514881",,"ALCALDE 3","ACCENAME",,"0"
"3514882",,"ALCALDE 4","ACCENAME",,"0"
"3514883",,"ALGAIDA","ACCENAME",,"0"
"3514884",,"AMIGO","ACCENAME",,"0"
"3514885",,"BADAJOZ","ACCENAME",,"0"
"3514886",,"Chandler","ACCENAME",,"0"
"3514887",,"CHICO","ACCENAME",,"0"
"3514888",,"CHICO_NIGRA","ACCENAME",,"0"
"3514889",,"D 32-BIS","ACCENAME",,"0"
"3514890",,"De Arriba","ACCENAME",,"0"
"3514891",,"Del Carril","ACCENAME",,"0"
"3514892",,"EUREKA","ACCENAME",,"0"
"3514893",,"FRANQUETTE","ACCENAME",,"0"
"3514894",,"Gran Jefe","ACCENAME",,"0"
"3514895",,"Hartley","ACCENAME",,"0"
"3514896",,"HOWARD","ACCENAME",,"0"
"3514897",,"JAEN","ACCENAME",,"0"
"3514898",,"MAR MENOR","ACCENAME",,"0"
"3514899",,"NUGGET","ACCENAME",,"0"
"3514900",,"PAYNE","ACCENAME",,"0"
"3514901",,"PEDRO","ACCENAME",,"0"
"3514902",,"SERR1","ACCENAME",,"0"
"3514903",,"SUNLAND","ACCENAME",,"0"
"3514904",,"Taibilla madre","ACCENAME",,"0"
"3514905",,"Tb 1-12","ACCENAME",,"0"
"3514906",,"Tehama","ACCENAME",,"0"
"3514907",,"Tobilla","ACCENAME",,"0"
"3514908",,"VINA1","ACCENAME",,"0"
"3514938",,"CHICO","ACCENAME",,"0"
"3514939",,"AMIGO","ACCENAME",,"0"
"3514940",,"PEDRO","ACCENAME",,"0"
"3514941",,"SCHARCH FRANQUETTE","ACCENAME",,"0"
"3514942",,"ALGAIDA","ACCENAME",,"0"
"3514943",,"Carcagente","ACCENAME",,"0"
"3514944",,"ALCALDE","ACCENAME",,"0"
"3514945",,"GRAN JEFE","ACCENAME",,"0"
"3514946",,"23 B-1","ACCENAME",,"0"
"3514947",,"VZ-4","ACCENAME",,"0"
"3514948",,"VZ-5","ACCENAME",,"0"
"3514949",,"TEHAMA","ACCENAME",,"0"
"3514950",,"HARTLEY","ACCENAME",,"0"
"3514951",,"SERR","ACCENAME",,"0"
"3514952",,"Tobilla","ACCENAME",,"0"
"3514953",,"BADAJOZ","ACCENAME",,"0"
"3514954",,"Trinta","ACCENAME",,"0"
"3514955",,"Chandler","ACCENAME",,"0"
"3514956",,"Howard","ACCENAME",,"0"
"3514957",,"SUNLAND","ACCENAME",,"0"
"3514958",,"Mar Menor","ACCENAME",,"0"
"3514959",,"NUGGET","ACCENAME",,"0"
"3514960",,"DEL CARRIL","ACCENAME",,"0"
"3514961",,"PAYNE","ACCENAME",,"0"
"3514962",,"OLLA P-1","ACCENAME",,"0"
"3514963",,"FRANQUETTE","ACCENAME",,"0"
"3514964",,"ENANO","ACCENAME",,"0"
"3514965",,"CALLAO","ACCENAME",,"0"
"3514966",,"Callao 1","ACCENAME",,"0"
"3514967",,"CALLAO 2","ACCENAME",,"0"
"3514968",,"Vina","ACCENAME",,"0"
"3514969",,"TAIBILLA 5","ACCENAME",,"0"
"3514970",,"P3 JR","ACCENAME",,"0"
"3514971",,"Cabra 1","ACCENAME",,"0"
"3514972",,"ARRIBA","ACCENAME",,"0"
"3514973",,"VZ-2","ACCENAME",,"0"
"3514974",,"Vz-3","ACCENAME",,"0"
"3514975",,"Taibilla 4","ACCENAME",,"0"
"3514976",,"15 A-1","ACCENAME",,"0"
"3514977",,"TAIBILLA MADRE","ACCENAME",,"0"
"3514978",,"La Nava 3","ACCENAME",,"0"
"3514979",,"BADAJOZ","ACCENAME",,"0"
"3514980",,"HARTLEY","ACCENAME",,"0"
"3514981",,"23 B-1","ACCENAME",,"0"
"3514982",,"PEDRO","ACCENAME",,"0"
"3514983",,"Chico","ACCENAME",,"0"
"3514984",,"SERR","ACCENAME",,"0"
"3514985",,"Franquette","ACCENAME",,"0"
"3514986",,"AMIGO","ACCENAME",,"0"
"3514987",,"Alcalde 1","ACCENAME",,"0"
"3514988",,"Alcalde 2","ACCENAME",,"0"
"3514989",,"Tobilla","ACCENAME",,"0"
"3514990",,"Alcalde 3","ACCENAME",,"0"
"3514991",,"ALCALDE 4","ACCENAME",,"0"
"3514992",,"DEL CARRIL","ACCENAME",,"0"
"3514993",,"De Arriba","ACCENAME",,"0"
"3514994",,"TAIBILLA 2","ACCENAME",,"0"
"3514995",,"Vina","ACCENAME",,"0"
"3514996",,"Tehama","ACCENAME",,"0"
"3514997",,"PAYNE","ACCENAME",,"0"
"3514998",,"Taibilla madre","ACCENAME",,"0"
"3514999",,"TAIBILLA 5","ACCENAME",,"0"
"3515000",,"NUGGET","ACCENAME",,"0"
"3515001",,"EUREKA","ACCENAME",,"0"
"3515002",,"Enano","ACCENAME",,"0"
"3515003",,"TRINTA","ACCENAME",,"0"
"3515004",,"SCHARCH FRANQUETTE","ACCENAME",,"0"
"3515005",,"ALGAIDA","ACCENAME",,"0"
"3515006",,"SENDRA","ACCENAME",,"0"
"3515007",,"CARCAGENTE","ACCENAME",,"0"
"3515008",,"CELA","ACCENAME",,"0"
"3515357",,"Adams-10","ACCENAME",,"0"
"3515358",,"Alcalde-1","ACCENAME",,"0"
"3515359",,"Alcalde-2","ACCENAME",,"0"
"3515362",,"Arco","ACCENAME",,"0"
"3515363",,"AS-0","ACCENAME",,"0"
"3515364",,"AS-1","ACCENAME",,"0"
"3515366",,"as-7","ACCENAME",,"0"
"3515367",,"Ashley","ACCENAME",,"0"
"3515369",,"Carcagente","ACCENAME",,"0"
"3515370",,"Cerda","ACCENAME",,"0"
"3515371",,"Comes","ACCENAME",,"0"
"3515372",,"Corne","ACCENAME",,"0"
"3515373",,"Chandler","ACCENAME",,"0"
"3515374",,"Chase D-9","ACCENAME",,"0"
"3515377",,"Escriba","ACCENAME",,"0"
"3515378",,"Eureka","ACCENAME",,"0"
"3515379",,"Franquette","ACCENAME",,"0"
"3515380",,"Gales","ACCENAME",,"0"
"3515382",,"Grandjean","ACCENAME",,"0"
"3515383",,"Grosvert","ACCENAME",,"0"
"3515384",,"Hartley","ACCENAME",,"0"
"3515385",,"Howard","ACCENAME",,"0"
"3515389",,"Mb-b-1","ACCENAME",,"0"
"3515390",,"Mb-ge-9","ACCENAME",,"0"
"3515392",,"Mb-t-19","ACCENAME",,"0"
"3515393",,"Mb-t-31","ACCENAME",,"0"
"3515394",,"Mb-t-40","ACCENAME",,"0"
"3515396",,"Mb-t-119","ACCENAME",,"0"
"3515398",,"Mb-t-159","ACCENAME",,"0"
