"genesysId","collMissId","collNumb","collDate","collSrc","collSite","version"
"4025015",,"468-01",,"23","Cartigny","35"
"4025016",,"420-01",,"61","Corbeyrier","33"
"4025017",,"662-01",,"21","Salgesch","35"
"4025018",,"641-01",,"23","Niedergesteln","35"
"4025019",,"638-01",,"61","Ausserberg","35"
"4025020",,"612-02",,"22","Ayent","35"
"4025021",,"390-01",,"23","Blonay","35"
"4025022",,"506-02",,"12","Vollèges","34"
"4025023",,"601-02",,"21","Le Châble VS","35"
"4025024",,"671-02",,"21","Bitsch","35"
"4025025",,"440-01",,"21","Fenalet","35"
"4025026",,"150-01",,"61","Allaman","33"
"4025027",,"671-01",,"21","Bitsch","35"
