taxon_full_name,genus,species,infra_rank,infra_name,hybrid,cultivar,prov_type,orig_lat,orig_long,country,state,county,municipality,locality,assoc_sp,acc_num,lin_num,orig_source,rec_as,num_indiv,germ_type,garden_loc,coll_num,coll_name,coll_year,taxon_verif,notes
Carya texana Buckley,Carya,texana,,,,,W,35.90995,-93.21342,United States of America,AR,Newton Co.,,"Deer Cabin, Smith Mountain Road and NC 8826 Road, approximately 5.75 miles north of Deer"," Growing in association with Liquidambar styraciflua, Sassafras albidum, Quercus alba, Fraxinus sp., Acer sp., Prunus serotina, Juiperus virginiana, Carya texana, Carya glabra, Rubus sp., Quercus rubra, Ulmus americana, Ulmus alata, Cornus florida, Nyssa sylvatica, Pinus echinata, Morus rubra, Quercus velutina, Cercis canadensis, Ostrya virginiana, Fagus sylvatica, Frangula caroliniana, Smilax bona-nox and Smilax glauca.",D2020-0343,,Brenton Arboretum,Plant,5,Plant,Nursery,APS/CT/2019/065/394,"Schmitz, Andy (Brenton Arboretum)",2019-11-07,Not determined,
Castanea ozarkensis Ashe,Castanea,ozarkensis,,,,,W,36.05602,-92.79935,United States of America,AR,Searcy Co.,St. Joe,Private Property near St. Joe,"Tree is all by its self in pasture. Associated with in the woods nearby, Carya texana, Juniperus virginiana, Diospyros virginiana, Quercus falcata, Prunus serotina, Quercus marilandica, Sassafras albidum, Quercus  velutina.",D2020-0346,,Brenton Arboretum,Plant,5,Plant,Nursery,,"Wyatt, Chris (AR County Forester)",2019-09-19,Not determined,
Carya glabra (Mill.) Sweet,Carya,glabra,,,,,W,35.20707,-83.0571,United States of America,NC,Jackson County,,"Open clearing on Soapstone Ridge, Big Ridge private property managed by Ron Lance"," Associated Species: Fraxinus americana, Liriodendron tulipifera, Halesia tetraptera, Acer rubrum, Quercus alba, Q. coccinea, Q. montana, Q. rubra",D2021-0197,,Morton Arboretum,Plant,1,Plant,Nursery,NCTN-45,"Hoban, Sean; Shearer, Kim (Morton Arb.); Lance, Ron",2019-09-18,,
Juglans cinerea L.,Juglans,cinerea,,,,,W,35.22856,-83.09285,United States of America,NC,Jackson County,,"Kiosee Creek Rd., Big Ridge private property managed by Ron Lance, northwest side Bell Coney Mountain","Rich cove forest; Associated Species: Acer pensylvanicum, Acer rubrum, Robinia pseudoacacia, Betula lenta, Castanea dentata, Lindera benzoin",D2021-0199,,Morton Arboretum,Plant,1,Plant,Nursery,NCTN-37,"Hoban, Sean; Shearer, Kim (Morton Arb.); Lance, Ron",2019-09-18,,
Juglans cinerea L.,Juglans,cinerea,,,,,W,35.32268,-83.51895,United States of America,NC,Swain County,,"north of Little Tennessee River, cross over Needmore Rd. Suspension Bridge then walk east along river in flood plain zone below service road","Montane inland floodplain; Associated Species: Platanus, Carpinus, Acer rubrum, Liriodendron, Ilex opaca, Lindera benzoin",D2021-0200,,Morton Arboretum,Plant,1,Plant,Nursery,NCTN-33,"Hoban, Sean; Shearer, Kim (Morton Arb.)",2019-09-17,,
Castanea pumila Mill.,Castanea,pumila,,,,,W,35.07869,-83.4355,United States of America,NC,Macon County,Otto,"Private property of Jack Johnston, northwest of the town of Otto","valley bottom; Associated Species: Lindera benzoin, Symplocus, Betula lenta, Acer pensylvanicum, Quercus alba, Magnolia fraseri; Soil: clayey soils with organic layer",D2021-0201,,Morton Arboretum,Plant,3,Plant,Nursery,NCTN-26,"Hoban, Sean; Shearer, Kim (Morton Arb.); Johnston, Jack",2019-09-16,,
Asimina triloba (L.) Dunal,Asimina,triloba,,,,,W,39.980125,-82.413094,United States of America,OH,Licking County,,The Dawes Arboretum,Beech - Maple forest,D9999-0472,,Dawes Arboretum,Explant,4,Plant,Garden Grounds,,,,Det. by comparison,
Carya cordiformis (Wangenh.) K.Koch,Carya,cordiformis,,,,,W,39.980125,-82.413094,United States of America,OH,Licking County,,The Dawes Arboretum,Beech - Maple forest,D9999-0477,,Dawes Arboretum,Explant,4,Plant,Garden Grounds,,,,Det. by comparison,
Carya ovata (Mill.) K.Koch,Carya,ovata,,,,,W,39.980125,-82.413094,United States of America,OH,Licking County,,The Dawes Arboretum,Beech - Maple forest,D9999-0504,,Dawes Arboretum,Explant,18,Plant,Garden Grounds,,,,Not determined,
Juglans nigra L.,Juglans,nigra,,,,,W,39.980125,-82.413094,United States of America,OH,Licking County,,The Dawes Arboretum,Beech - Maple forest,D9999-0913,,Dawes Arboretum,Explant,12,Plant,Garden Grounds,,,,Not determined,
